,Unnamed: 0,algorithm,num_nodes,ratio_fraction,domain_size,sample_size,trial,time,equiv,precision,recall,f1,pure,structural
113,113,FCI,5,1.1,3,1000,2,0.0016713142395019,False,0.0,0.0,0.0,0,0
114,114,MIIC,5,1.1,3,1000,3,0.0019412040710449,False,0.75,0.6,0.6666666666666665,3,5
115,115,GHC,5,1.1,3,1000,3,0.0110681056976318,False,0.75,0.6,0.6666666666666665,3,5
116,116,FCI,5,1.1,3,1000,3,0.0020480155944824,False,0.0,0.0,0.0,0,0
117,117,MIIC,5,1.1,3,1000,4,0.0019991397857666,False,1.0,1.0,1.0,0,4
118,118,GHC,5,1.1,3,1000,4,0.0097782611846923,False,1.0,0.8,0.888888888888889,1,2
119,119,FCI,5,1.1,3,1000,4,0.0031380653381347,False,0.0,0.0,0.0,0,0
120,120,MIIC,5,1.1,4,100,0,0.0015530586242675,False,1.0,0.4,0.5714285714285715,3,3
121,121,GHC,5,1.1,4,100,0,0.0101740360260009,False,1.0,0.4,0.5714285714285715,3,3
122,122,FCI,5,1.1,4,100,0,0.000870943069458,False,1.0,0.2,0.3333333333333333,4,4
123,123,MIIC,5,1.1,4,100,1,0.0020258426666259,False,1.0,1.0,1.0,0,0
124,124,GHC,5,1.1,4,100,1,0.0101029872894287,False,1.0,0.75,0.8571428571428571,1,1
125,125,FCI,5,1.1,4,100,1,0.0018157958984375,False,0.0,0.0,0.0,0,0
126,126,MIIC,5,1.1,4,100,2,0.0014178752899169,False,1.0,0.4,0.5714285714285715,3,5
127,127,GHC,5,1.1,4,100,2,0.0108177661895751,False,0.75,0.6,0.6666666666666665,3,4
128,128,FCI,5,1.1,4,100,2,0.0010859966278076,False,0.0,0.0,0.0,0,0
129,129,MIIC,5,1.1,4,100,3,0.0015339851379394,False,1.0,0.4,0.5714285714285715,3,3
130,130,GHC,5,1.1,4,100,3,0.0109081268310546,False,1.0,0.4,0.5714285714285715,3,3
131,131,FCI,5,1.1,4,100,3,0.0008571147918701,False,1.0,0.4,0.5714285714285715,3,3
132,132,MIIC,5,1.1,4,100,4,0.0012447834014892,False,1.0,0.2,0.3333333333333333,4,4
